"Time","L1","L2","L3"
2024-06-06 02:52:00,1.28 K,690,601
2024-06-06 02:53:00,752,0.489,-0.458
2024-06-06 02:54:00,756,0.444,-0.464
2024-06-06 02:55:00,749,0.430,-0.483
2024-06-06 02:56:00,753,0.468,-0.447
2024-06-06 02:57:00,745,0.472,-0.485
2024-06-06 02:58:00,759,0.406,-0.421
2024-06-06 02:59:00,1.32 K,669,586
2024-06-06 03:00:00,1.31 K,655,576
2024-06-06 03:01:00,1.43 K,783,708
2024-06-06 03:02:00,1.34 K,702,627
2024-06-06 03:03:00,1.40 K,726,644
2024-06-06 03:04:00,1.37 K,714,648
2024-06-06 03:05:00,1.37 K,699,626
2024-06-06 03:06:00,1.36 K,699,625
2024-06-06 03:07:00,1.34 K,681,607
2024-06-06 03:08:00,745,0.434,-0.404
2024-06-06 03:09:00,745,0.455,-0.396
2024-06-06 03:10:00,745,0.470,-0.442
2024-06-06 03:11:00,748,0.366,-0.683
2024-06-06 03:12:00,736,0.408,-0.719
2024-06-06 03:13:00,745,0.405,-0.725
2024-06-06 03:14:00,737,0.454,-0.495
2024-06-06 03:15:00,1.30 K,669,599
2024-06-06 03:16:00,1.25 K,665,590
2024-06-06 03:17:00,1.34 K,703,631
2024-06-06 03:18:00,1.37 K,723,645
2024-06-06 03:19:00,1.55 K,704,639
2024-06-06 03:20:00,1.56 K,683,614
2024-06-06 03:21:00,1.54 K,685,625
2024-06-06 03:22:00,1.54 K,685,627
2024-06-06 03:23:00,1.54 K,680,617
2024-06-06 03:24:00,1.54 K,689,631
2024-06-06 03:25:00,1.53 K,680,620
2024-06-06 03:26:00,1.54 K,673,605
2024-06-06 03:27:00,956,0.120,-0.144
2024-06-06 03:28:00,953,0.0845,-0.155
2024-06-06 03:29:00,960,0.0805,-0.148
2024-06-06 03:30:00,954,0.177,-0.149
2024-06-06 03:31:00,952,0.265,-0.153
2024-06-06 03:32:00,944,0.224,-0.140
2024-06-06 03:33:00,1.43 K,612,555
2024-06-06 03:34:00,2.03 K,1.31 K,1.20 K
2024-06-06 03:35:00,2.01 K,1.27 K,1.15 K
2024-06-06 03:36:00,1.52 K,696,597
2024-06-06 03:37:00,1.47 K,647,550
2024-06-06 03:38:00,1.48 K,640,548
2024-06-06 03:39:00,1.47 K,637,554
2024-06-06 03:40:00,948,0.322,-0.588
2024-06-06 03:41:00,947,0.294,-0.595
2024-06-06 03:42:00,952,0.361,-0.424
2024-06-06 03:43:00,949,0.342,-0.388
2024-06-06 03:44:00,954,0.378,-0.407
2024-06-06 03:45:00,938,0.302,-0.434
2024-06-06 03:46:00,1.96 K,1.29 K,1.13 K
2024-06-06 03:47:00,2.04 K,1.29 K,1.13 K
2024-06-06 03:48:00,1.55 K,712,631
2024-06-06 03:49:00,1.48 K,630,568
2024-06-06 03:50:00,1.43 K,638,560
2024-06-06 03:51:00,1.55 K,703,645
2024-06-06 03:52:00,940,0.399,-0.429
2024-06-06 03:53:00,952,0.351,-0.398
2024-06-06 03:54:00,945,0.357,-0.444
2024-06-06 03:55:00,957,0.340,-0.399
2024-06-06 03:56:00,952,0.393,-0.418
2024-06-06 03:57:00,959,0.306,-0.403
2024-06-06 03:58:00,1.51 K,662,572
2024-06-06 03:59:00,2.02 K,1.30 K,1.17 K
2024-06-06 04:00:00,2.14 K,1.38 K,1.30 K
2024-06-06 04:01:00,1.52 K,668,621
2024-06-06 04:02:00,1.53,0.151,-0.232
2024-06-06 04:03:00,1.57,0.159,-0.241
2024-06-06 04:04:00,482,0.214,-0.267
2024-06-06 04:05:00,477,0.172,-0.304
2024-06-06 04:06:00,481,0.241,-0.262
